english_name,site_name,code
Afghanistan,AFGANISTAN,209
Albania,ALBANIA,473
Algeria,ALGERIA,131
Andorra,ANDORRA,445
Angola,ANGOLA,305
Antigua and Barbuda,ANTIGUA&BARBUDA,663
Eritrea,ARETERYA,303
Argentina,ARGANTINA,605
Armenia,ARMINYA,263
Estonia,ASTONIA,459
Ethiopia,ATHYUOBYA,317
Australia,AUSTRALIA,701
Austria,AUSTRIA,417
Azerbaijan,AZERBAIJAN,265
Bahamas,BAHAMAS,619
Bahrain,BAHRAIN,107
Panama,BANAMA,633
Bangladesh,BANGLADESH,207
Barbados,BARBADOS,657
Bermuda,BARMODA,634
Belgium,BELGIUM,411
Belize,BELIZE,651
Benin,BENIN,369
Bolivia,BOLEVIA,609
Burkina Faso,BORKINA FASSO,351
Bosnia and Herzegovina,BOSNIA AND HERZEG,463
Bhutan,BOTAN,211
Botswana,BOTSWANA,375
Brazil,BRAZEL,603
United Kingdom,BRITAIN,401
Burundi,BRONDAY,307
Brunei,BRUNEI,253
Bulgaria,BULGARIA,465
Cape Verde,CABOVERDE,393
Cameroon,CAMEROON,309
Canada,CANADA,501
Chile,CHILE,607
China,CHINA,219
Colombia,COLOMBIA,611
Dominica,COMMONWEALTH OF DOMINICA,642
Comoros,COMOROS,301
Congo,CONGO,313
Croatia,CROATIA,453
Cuba,CUBA,621
Cyprus,CYPRUS,431
Czech Republic,CZECH REPUBLIC,452
Czechoslovakia,CZECHOSLOVAKIA,451
Dagestan,DAGHYSTAN,274
Dahomey,DAHOME,315
Democratic Republic of the Congo,DEMOCRATIC REPUBLIC OF THE CONGO,361
Denmark,DENMARK,423
Djibouti,DJIBOUTI,141
Dominican Republic,DOMINICAN,625
Egypt,EGYPT,125
El Salvador,ELSALVADOR,635
United Arab Emirates,EMIRATES,101
Antigua,ENTIAGO,251
Equatorial Guinea,EQUATORIAL GUINEA,750
Finland,FENLAND,433
Fiji,FIGI,705
France,FRANCE,403
French Guiana,FRENCHGUIANA,659
Gabon,GABON,371
Jamaica,GAMAYCA,629
Gambia,GAMBYA,387
Georgia,GEORGIA,273
Germany,GERMANY,407
Gambia,GHAMBIA,381
Ghana,GHANA,319
Guinea-Bissau,GHINIA,385
Greece,GREECE,429
Cape Verde,GREEN HEAD,365
Grenada,GRENADA,649
Guyana,GUYANA,653
Guatemala,GWATIMALA,627
Haiti,HAITI,639
Honduras,HINDORASS,647
Netherlands,HOLAND,409
Hong Kong,HONK KONG,223
Hungary,HUNGARY,467
Iceland,ICELAND,443
Ecuador,ICWADOR,613
India,INDIA,205
Indonesia,INDONESIA,243
Iran,IRAN,201
Iraq,IRAQ,113
Ireland,IRLAND,427
Israel,ISRAELI,277
Italy,ITALY,405
Ivory Coast,IVORY COAST,323
Japan,JAPAN,231
Jordan,JORDAN,121
Cayman Islands,KAIMANISLAND,503
Kazakhstan,KAZAKHESTAN,261
Kenya,KENYA,325
Cambodia,KIMBUDYA,215
Kiribati,KIRIBATI,391
Costa Rica,KOSTARECA,623
Kuwait,KUWAIT,105
Kyrgyzstan,Kyrgyzstan Republic,489
Laos,LAOS,245
Latvia,LATVIA,461
Lebanon,LEBANON,117
Lesotho,LESOTO,377
Libya,LIBYA,127
Liechtenstein,LIECHTAIN,449
Lithuania,LITWANIA,457
Luxembourg,LUXEMBORG,413
Liberia,LYBERYA,327
Macau,MACAU,259
Madagascar,MADGASHQAR,329
Malawi,MALAWI,333
Malaysia,MALAYSIA,241
Maldives,MALDIVES,257
Malta,MALTA,435
Mali,MALY,335
Mongolia,MANGHOLIA,249
Macedonia,MAQDONIA,485
Marshall Islands,MARCHALLISLAND,727
Martinique,MARTINEK,661
Martinez Islands,MARTNIZISLAND,717
Mariana Islands,MARYANAISLAND,721
Mexico,MAXICO,601
Central African Republic,MIDEL AFRIQA,363
Moldova,MOLDAVIA,481
Monaco,MONACO,439
Montenegro,Montenegro,488
Mauritius,MORESHYUOSS,367
Mauritania,MORITANYA,135
Morocco,MOROCCO,133
Mozambique,MOZAMBEQ,337
Namibia,NAMIBIA,373
Nicaragua,NEKARAGWA,631
New Caledonia,NEW CALDONYA,715
